Happiness Rank,Family,Country,Region,Happiness Score,Dystopia Residual,Generosity,Health (Life Expectancy),Trust (Government Corruption),Upper Confidence Interval,Freedom,Lower Confidence Interval,Economy (GDP per Capita)
93,0.64184,Lebanon,Middle East and Northern Africa,5.129,2.07339,0.23693,0.76171,0.03061,5.227,0.26228,5.031,1.12268
94,0.94367,Portugal,Western Europe,5.123,1.53015,0.11691,0.79363,0.01521,5.216,0.44727,5.03,1.27607
95,0.78236,Macedonia,Central and Eastern Europe,5.121,2.08947,0.23507,0.64738,0.07047,5.225,0.27668,5.017,1.0193
96,0.79117,Vietnam,Southeastern Asia,5.061,1.9418,0.25075,0.66157,0.11556,5.131,0.55954,4.991,0.74037
98,0.43165,Tunisia,Middle East and Northern Africa,5.045,2.68413,0.03936,0.59577,0.0817,5.125,0.23553,4.965,0.97724
99,0.75473,Greece,Western Europe,5.033,2.12944,0,0.80029,0.04127,5.131,0.05822,4.935,1.24886
100,0.75602,Tajikistan,Central and Eastern Europe,4.996,2.39106,0.25998,0.53119,0.13509,5.069,0.43408,4.923,0.48835
101,1.08983,Mongolia,Eastern Asia,4.907,1.53586,0.34539,0.55469,0.03285,4.976,0.35972,4.838,0.98853
102,0.5497,Laos,Southeastern Asia,4.876,2.08637,0.43079,0.38291,0.22423,5.01,0.52168,4.742,0.68042
103,0.64498,Nigeria,Sub-Saharan Africa,4.875,2.88586,0.23219,0.05108,0.0305,5,0.27854,4.75,0.75216
104,0.75596,Honduras,Latin America and Caribbean,4.871,2.29551,0.2044,0.58383,0.06906,4.992,0.26755,4.75,0.69429
105,0.38857,Iran,Middle East and Northern Africa,4.813,1.99817,0.38538,0.64232,0.0557,4.923,0.22544,4.703,1.11758
106,0.6376,Zambia,Sub-Saharan Africa,4.795,2.58991,0.17866,0.23573,0.11479,4.945,0.42662,4.645,0.61202
107,0.69699,Nepal,Southern Asia,4.793,2.32694,0.3816,0.50073,0.07008,4.888,0.37012,4.698,0.44626
108,0.71629,Palestinian Territories,Middle East and Northern Africa,4.754,2.40364,0.11154,0.56844,0.10613,4.859,0.17744,4.649,0.67024
109,0.50163,Albania,Central and Eastern Europe,4.655,1.92816,0.1684,0.73007,0.05301,4.764,0.31866,4.546,0.9553
110,0.24749,Bangladesh,Southern Asia,4.643,2.60904,0.19132,0.52989,0.12583,4.726,0.39778,4.56,0.54177
111,0.628,Sierra Leone,Sub-Saharan Africa,4.635,3.01402,0.23897,0,0.08196,4.765,0.30685,4.505,0.36485
